ItiEuropeen	route	longueur	prD	depPrD	concessionPrD	absD	xD	yD	zD	prF	depPrF	concessionPrF	absF	xF	yF	zF
E19	A0001	13405	0	93	N	0	653006,6	6867037,55	0	13	93	N	401	662045,66	6874523,29	0
E19	A0001	5520	0	95	N	0	662045,66	6874523,29	0	18	95	N	930	665444,29	6878782,2	0
E15	A0001	4940	14	95	N	0	662454,63	6874929,45	0	18	95	N	930	665444,29	6878782,2	0
E15	A0001	1569	18	95	N	930	665444,29	6878782,2	0	20	95	C	499	665966,61	6880317,6	0
E19	A0001	1569	18	95	N	930	665444,29	6878782,2	0	20	95	C	499	665966,61	6880317,6	0
E15	A0001	242	20	95	C	499	665966,61	6880317,6	0	20	95	C	741	666035,68	6880520,91	0
E19	A0001	242	20	95	C	499	665966,61	6880317,6	0	20	95	C	741	666035,68	6880520,91	0
E15	A0001	9909	20	95	C	741	666035,68	6880520,91	0	30	95	C	650	667345,96	6890249,01	0
E19	A0001	9909	20	95	C	741	666035,68	6880520,91	0	30	95	C	650	667345,96	6890249,01	0
E15	A0001	61366	30	95	C	650	667345,96	6890249,01	0	92	60	C	16	682330,82	6946951,22	0
E19	A0001	61366	30	95	C	650	667345,96	6890249,01	0	92	60	C	16	682330,82	6946951,22	0
E15	A0001	46970	92	60	C	16	682330,82	6946951,22	0	138	80	C	986	691699,49	6992566,8	0
E19	A0001	44750	92	60	C	16	682330,82	6946951,22	0	136	80	C	766	691300,52	6990418,63	0
E15	A0001	32442	138	80	C	986	691699,49	6992566,8	0	171	62	C	428	692871,03	7024091,07	0
E17	A0001	11613	171	62	C	428	692871,03	7024091,07	0	183	62	C	41	698814,6	7033658,95	0
E17	A0001	190	183	62	C	41	698814,6	7033658,95	0	183	62	C	231	698831,14	7033865,91	0
E17	A0001	3685	183	62	C	231	698831,14	7033865,91	0	186	62	C	916	698351,8	7037530,5	0
E17	A0001	6438	187	62	N	0	698351,8	7037530,5	0	193	62	N	393	699289,39	7043597,96	0
E17	A0001	14933	0	59	N	0	699289,39	7043597,96	0	208	59	N	350	707338,16	7055874,46	0
E42	A0001	2989	208	59	N	350	707338,16	7055874,46	0	210	59	N	1325	705842,13	7058251,7	0
E19	A0002	3533	0	80	C	0	691468,61	6990871,19	0	3	80	C	533	693370,6	6993152,82	0
E19	A0002	1122	3	80	C	533	693370,6	6993152,82	0	4	62	C	655	694311,12	6993756,09	0
E19	A0002	382	4	62	C	655	694311,12	6993756,09	0	5	80	C	37	694644,11	6993988,07	0
E19	A0002	18602	5	80	C	37	694644,11	6993988,07	0	23	62	C	639	709125,65	7005156,86	0
E19	A0002	19042	23	62	C	639	709125,65	7005156,86	0	42	59	C	681	722957,28	7017335,1	0
E19	A0002	35501	43	59	N	0	722957,28	7017335,1	0	78	59	N	456	747584,18	7038121,26	0
E15	A0004	3371	18	77	C	35	672065,63	6858926,98	0	21	77	C	406	675452,16	6859181,78	0
E50	A0004	49740	18	77	C	35	672065,63	6858926,98	0	67	77	C	775	712935,31	6881400,97	0
E50	A0004	32770	67	77	C	775	712935,31	6881400,97	0	100	2	C	545	742808,3	6892226,73	0
E50	A0004	8555	100	2	C	545	742808,3	6892226,73	0	109	51	C	100	750798,74	6894780,16	0
E50	A0004	5015	109	51	C	100	750798,74	6894780,16	0	114	2	C	115	754533,15	6897821,37	0
E50	A0004	107781	114	2	C	115	754533,15	6897821,37	0	221	51	C	896	845904,96	6889832,49	0
E17	A0004	34990	132	51	C	800	769966,89	6905147,9	0	167	51	C	790	794080,8	6884692,45	0
E46	A0004	8200	133	51	C	720	770579,35	6904487,34	0	141	51	C	920	776706,51	6901791,27	0
E50	A0004	58942	221	51	C	896	845904,96	6889832,49	0	280	55	C	838	900304,27	6899498,07	0
E50	A0004	18336	280	55	C	838	900304,27	6899498,07	0	299	54	C	174	917316,77	6903909,26	0
E50	A0004	70326	299	54	C	174	917316,77	6903909,26	0	369	57	C	500	977794,67	6899992,14	0
E25	A0004	77267	315	57	C	829	931371,99	6904792,42	0	393	57	C	96	996842,41	6889455,24	0
E25	A0004	24710	393	57	C	96	996842,41	6889455,24	0	417	67	C	806	1003853	6867371,39	0
E25	A0004	15122	417	67	C	806	1003853	6867371,39	0	432	57	C	928	1016315,3	6860893,05	0
E25	A0004	41772	432	57	C	928	1016315,3	6860893,05	0	474	67	C	700	1048610,95	6849594,05	0
E25	A0004	6405	0	67	N	0	1048610,95	6849594,05	0	6	67	N	1012	1049024,84	6843772,13	0
E54	A0005	47325	0	77	C	0	673133,23	6832763,43	0	47	77	C	325	709825,97	6807720,86	0
E54	A0005	1043	47	77	C	325	709825,97	6807720,86	0	48	89	C	368	710816,35	6807310,14	0
E54	A0005	57	48	89	C	368	710816,35	6807310,14	0	48	89	C	425	710851,89	6807293,25	0
E54	A0005	40014	48	89	C	425	710851,89	6807293,25	0	88	89	C	439	744803,97	6793595,49	0
E511	A0005	24500	63	89	C	939	721730,1	6796578,69	0	88	89	C	439	744803,97	6793595,49	0
E54	A0005	92610	88	89	C	439	744803,97	6793595,49	0	181	10	C	49	828758,21	6781139,67	0
E511	A0005	26676	88	89	C	439	744803,97	6793595,49	0	115	10	C	115	770167,94	6797223,78	0
E17	A0005	45749	135	10	C	300	788469,15	6792573,77	0	181	10	C	49	828758,21	6781139,67	0
E17	A0005	1106	181	10	C	49	828758,21	6781139,67	0	182	52	C	155	829809,04	6780839,99	0
E54	A0005	1106	181	10	C	49	828758,21	6781139,67	0	182	52	C	155	829809,04	6780839,99	0
E17	A0005	3870	182	52	C	155	829809,04	6780839,99	0	186	10	C	25	833511,52	6780020,02	0
E54	A0005	3870	182	52	C	155	829809,04	6780839,99	0	186	10	C	25	833511,52	6780020,02	0
E17	A0005	42075	186	10	C	25	833511,52	6780020,02	0	228	52	C	100	866072,74	6758415,78	0
E54	A0005	42075	186	10	C	25	833511,52	6780020,02	0	228	52	C	100	866072,74	6758415,78	0
E50	A0006	2888	24	91	N	500	656303,45	6836997,6	0	27	91	N	400	658102,38	6834785,86	0
E15	A0006	10974	27	91	N	400	658102,38	6834785,86	0	38	91	N	385	663227,05	6825409,84	0
E15	A0006	6076	38	91	N	385	663227,05	6825409,84	0	44	77	N	440	664266,34	6819482,33	0
E15	A0006	46602	44	77	N	440	664266,34	6819482,33	0	91	77	C	42	691541,88	6784209,91	0
E15	A0006	15173	91	77	C	42	691541,88	6784209,91	0	106	45	C	215	703630,24	6775827,96	0
E15	A0006	112985	106	45	C	215	703630,24	6775827,96	0	219	89	C	200	784048,85	6711347,62	0
